pomiar_id,tmin_4,tmax_4,tmin_9,tmax_9,annual_tavg,annual_precip,prow_id,woj_id,prowincja,wojewodztwo
1,1.7963578246647347,12.040337769872572,6.947685446850829,17.847685446850832,6.533702068006571,864.6407855616462,2,6,Karpaty Zachodnie z Podkarpaciem Zachodnim i Północnym,małopolskie
2,4.122183859696617,14.3558806315578,9.214639052414066,19.326961456622378,8.1441515384374,644.7503355282078,6,13,Wyżyny Polskie,świętokrzyskie
3,3.7503749213550597,12.582491040627714,9.513398387607207,17.76400277375378,7.831449005900015,613.0325855749409,4,16,Niż Środkowoeuropejski,zachodniopomorskie
4,3.6457183917024834,12.195330829878761,9.743287235831273,17.695330829878763,7.8512401777658365,638.0846398533199,4,16,Niż Środkowoeuropejski,zachodniopomorskie
5,2.788948550552253,12.588948550552256,7.988948550552256,17.78588362205697,7.296935071504722,546.1903797040023,4,3,Niż Środkowoeuropejski,lubelskie
6,4.129881522635058,14.129881522635054,9.299999999999999,19.099999999999998,8.2,555.2842248743569,2,9,Karpaty Zachodnie z Podkarpaciem Zachodnim i Północnym,podkarpackie
7,2.9553317627197884,13.017170232504682,8.841565740406958,18.5201003759313,7.9171702325046835,530.5140292039162,4,2,Niż Środkowoeuropejski,kujawsko-pomorskie
8,2.656402569386293,12.320767316713411,8.042326964446191,17.45611339415361,6.614167792072496,625.5082684338355,6,9,Wyżyny Polskie,podkarpackie
9,3.8265023632070863,12.426502363207087,9.49700967313559,17.61064116706802,7.597009673135591,640.581825618511,4,14,Niż Środkowoeuropejski,warmińsko-mazurskie
10,2.9335071986081633,13.263330366352061,8.601197102360516,18.963330366352064,8.200868850289735,660.1787734003279,4,8,Niż Środkowoeuropejski,opolskie
11,3.3350942284125993,13.625795903238048,9.084751996627464,19.08217196673828,8.384751996627463,523.2002208184797,4,15,Niż Środkowoeuropejski,wielkopolskie
12,3.876232728532038,12.226255388599004,10.175771859224364,17.923369078968634,7.7739639222219825,663.2955452468475,4,10,Niż Środkowoeuropejski,podlaskie
13,0.6595513012501415,10.486911639907024,6.138984214548076,16.414677648269418,5.700945867944393,864.1146942837568,2,6,Karpaty Zachodnie z Podkarpaciem Zachodnim i Północnym,małopolskie
14,4.000929244560569,13.812997964801738,8.952062941261133,18.704125882522266,7.69051180173422,569.2402987721734,2,9,Karpaty Zachodnie z Podkarpaciem Zachodnim i Północnym,podkarpackie
